nCategoryID,sName,sDescription,sValue,dtDateCreated,dtDateModified
80506,raise,Base hear data person crime cut.,now,2024-01-18 00:52:02,2004-03-13 05:34:38
1741,another,Under college drug war section behavior court hope.,think,2024-01-18 00:52:02,2018-05-11 06:31:42
10028,condition,Population whether I put.,issue,2024-01-18 00:52:02,2000-08-05 21:16:46
34907,job,Certainly dark note stand.,leave,2024-01-18 00:52:02,2010-06-06 18:23:38
29095,six,Loss back cut resource hard truth.,material,2024-01-18 00:52:02,2020-02-05 19:14:29
41519,threat,Relate past argue special.,positive,2024-01-18 00:52:02,2018-08-07 07:25:50
23811,people,Consumer show dream recently pattern possible.,question,2024-01-18 00:52:02,2005-10-11 10:10:55
4506,off,Anything main figure federal forget.,although,2024-01-18 00:52:02,2014-12-31 20:21:18
30335,season,Entire example customer necessary store.,senior,2024-01-18 00:52:02,2015-11-20 22:55:16
19984,drug,Line east common return whatever include.,rather,2024-01-18 00:52:02,2017-08-17 02:10:49
26058,maintain,Body across sea practice image.,deep,2024-01-18 00:52:02,2016-03-16 08:30:50
48750,degree,Avoid site score argue after.,pay,2024-01-18 00:52:02,2005-01-19 00:44:04
68685,try,He those day land.,ability,2024-01-18 00:52:02,2016-06-11 02:41:26
80727,again,Event act on focus often show character care.,trial,2024-01-18 00:52:02,2010-01-08 03:47:18
47615,boy,Blue sound middle book success.,pull,2024-01-18 00:52:02,2017-07-08 23:08:20
71802,nearly,Realize TV fact energy sense whom.,environment,2024-01-18 00:52:02,2022-04-30 05:29:38
36101,large,Anyone call animal whole.,one,2024-01-18 00:52:02,2006-10-05 20:43:21
1596,argue,Science onto final individual hotel coach traditional.,medical,2024-01-18 00:52:02,2019-07-22 05:54:38
21569,serve,Enough task fact letter within evidence subject.,third,2024-01-18 00:52:02,2021-01-01 10:55:40
87908,would,That present again final.,kind,2024-01-18 00:52:02,2023-09-18 17:18:07
95402,family,Message somebody beautiful system strategy position.,manager,2024-01-18 00:52:02,2002-03-16 05:01:35
90253,politics,Size another power senior.,eat,2024-01-18 00:52:02,2014-06-08 17:03:57
68114,not,Leave table star explain.,institution,2024-01-18 00:52:02,2001-04-27 04:37:08
12259,all,Join would billion start.,current,2024-01-18 00:52:02,2004-01-20 14:41:44
81537,only,Much truth sound out point quickly cup.,name,2024-01-18 00:52:02,2019-05-05 07:43:23
75143,rise,Analysis fund during know serious.,care,2024-01-18 00:52:02,2003-10-19 04:16:11
15507,cold,Debate agree language strategy really big political.,talk,2024-01-18 00:52:02,2001-08-08 15:06:55
80379,father,Dog any find line.,against,2024-01-18 00:52:02,2013-08-09 10:24:36
56422,too,Force than worker smile study central.,about,2024-01-18 00:52:02,2016-05-12 22:04:32
73278,heavy,Interesting husband company realize.,hope,2024-01-18 00:52:02,2007-06-19 09:43:16
783,worry,Ever partner history notice control candidate.,receive,2024-01-18 00:52:02,2011-11-23 03:14:49
31884,whatever,Particular allow course tax student rest study fish.,well,2024-01-18 00:52:02,2019-07-21 07:12:40
9248,drug,Reflect wear catch cell rich.,rest,2024-01-18 00:52:02,2016-03-07 18:45:12
71186,public,Road much them arm look yes magazine.,able,2024-01-18 00:52:02,2000-09-12 10:49:18
28282,size,Wind teach go half.,energy,2024-01-18 00:52:02,2012-02-29 05:42:42
77703,start,Compare offer tough others.,beat,2024-01-18 00:52:02,2017-05-02 16:11:43
97131,your,Mission play research theory who yeah explain.,debate,2024-01-18 00:52:02,2011-04-03 20:30:14
69650,however,Age forget what.,daughter,2024-01-18 00:52:02,2014-05-28 13:07:58
23782,west,Floor continue always arm computer use popular.,phone,2024-01-18 00:52:02,2000-07-06 23:38:52
56437,score,Half you door street.,figure,2024-01-18 00:52:02,2017-04-15 12:09:54
90486,whole,Head foot especially person arrive that.,throughout,2024-01-18 00:52:02,2008-06-20 11:21:56
15836,defense,Reach Mr thought fight.,dinner,2024-01-18 00:52:02,2002-03-15 20:53:03
28038,plan,Better she number realize series television how.,thank,2024-01-18 00:52:02,2015-03-15 00:02:36
55638,nearly,To report close pattern far account add.,again,2024-01-18 00:52:02,2012-01-18 21:58:00
60523,skill,Without already month team.,act,2024-01-18 00:52:02,2004-09-14 05:10:08
42526,actually,Small four senior approach party.,interview,2024-01-18 00:52:02,2003-05-23 22:40:01
61248,time,Allow capital national father argue low democratic.,where,2024-01-18 00:52:02,2019-03-05 13:35:31
14126,trouble,Lose material full investment instead yard.,game,2024-01-18 00:52:02,2004-09-07 14:03:32
60398,customer,Room source agent any save government rich.,democratic,2024-01-18 00:52:02,2017-03-28 08:17:13
55137,scene,Increase avoid easy.,oil,2024-01-18 00:52:02,2018-08-18 11:56:58
