nCategoryID,sName,sDescription,sValue,dtDateCreated,dtDateModified
2604,concern,Opportunity usually daughter standard take life.,once,2024-01-17 23:39:02,2015-02-24 02:59:47
50146,couple,Seek business eat heavy.,per,2024-01-17 23:39:02,2014-02-14 19:42:09
43559,suggest,Near nation set son.,page,2024-01-17 23:39:02,2000-09-30 00:55:47
64506,place,Compare investment wind itself bit.,million,2024-01-17 23:39:02,2004-08-22 11:28:37
15351,stuff,Science important much certainly close contain.,individual,2024-01-17 23:39:02,2011-05-05 23:24:08
45960,them,Remain walk face test morning.,start,2024-01-17 23:39:02,2012-07-24 06:05:56
77892,help,Sound he seek.,eye,2024-01-17 23:39:02,2005-05-24 10:13:33
76132,account,Prevent least administration teacher north can writer.,design,2024-01-17 23:39:02,2004-03-07 03:17:26
60119,occur,Shake receive doctor before fire read a guess.,without,2024-01-17 23:39:02,2013-02-13 09:37:53
36349,collection,Real make short.,tax,2024-01-17 23:39:02,2017-08-03 19:49:54
21268,back,Clear list small reality.,turn,2024-01-17 23:39:02,2004-10-17 08:11:40
64525,fill,Professor race already citizen century whole.,each,2024-01-17 23:39:02,2021-01-01 02:05:19
38253,animal,Feeling debate ball.,list,2024-01-17 23:39:02,2018-03-09 04:12:51
83448,degree,West best effect its plan physical cold.,edge,2024-01-17 23:39:02,2017-11-06 00:07:39
4134,want,Beat Democrat actually want world theory.,decade,2024-01-17 23:39:02,2023-01-27 21:02:05
17770,scientist,Possible color election about think memory.,history,2024-01-17 23:39:02,2018-03-18 19:56:43
42901,much,Trouble interesting Congress professional minute management body.,another,2024-01-17 23:39:02,2000-01-03 00:10:10
1410,defense,Thousand full material rate.,middle,2024-01-17 23:39:02,2024-01-17 03:01:08
69178,structure,Deep possible simple part tree public during perhaps.,decade,2024-01-17 23:39:02,2013-09-01 23:33:32
68423,start,Play type artist close.,true,2024-01-17 23:39:02,2015-10-07 07:36:25
42813,discuss,Bag federal plant TV.,possible,2024-01-17 23:39:02,2009-12-23 06:53:16
34254,oil,All television operation officer.,evening,2024-01-17 23:39:02,2012-10-12 13:20:29
1942,pay,Save room top own current ask.,above,2024-01-17 23:39:02,2006-08-23 11:49:34
69112,worker,Number oil yourself paper.,man,2024-01-17 23:39:02,2000-01-24 07:16:33
33928,notice,All son pay alone reason certainly.,human,2024-01-17 23:39:02,2013-11-25 13:01:06
14551,our,Window loss artist.,unit,2024-01-17 23:39:02,2003-06-04 09:10:49
74031,firm,Series our position by back.,yeah,2024-01-17 23:39:02,2020-08-03 22:56:51
78858,prevent,Hundred doctor name protect continue senior clear.,save,2024-01-17 23:39:02,2006-07-26 00:12:30
37730,practice,Share western claim throughout result career include.,defense,2024-01-17 23:39:02,2013-08-28 10:33:49
95584,political,Sea main truth spend happy.,article,2024-01-17 23:39:02,2017-01-24 08:31:05
42107,commercial,Beyond reveal eight outside.,somebody,2024-01-17 23:39:02,2018-11-13 10:25:13
82159,similar,Down newspaper meet every others production.,heart,2024-01-17 23:39:02,2011-03-18 03:32:38
58195,occur,Protect when public usually rich.,least,2024-01-17 23:39:02,2015-07-03 16:03:12
8762,plan,Project doctor though majority man.,remember,2024-01-17 23:39:02,2011-04-13 04:02:28
65469,people,Time forget exactly together area thousand.,movement,2024-01-17 23:39:02,2015-05-12 14:38:19
57420,several,Let administration next finish guess onto.,help,2024-01-17 23:39:02,2005-09-01 22:24:45
91570,against,Mr together find condition already.,employee,2024-01-17 23:39:02,2020-10-02 13:50:24
51127,call,Series team main per.,whether,2024-01-17 23:39:02,2019-10-08 06:26:49
11774,various,Through teach owner stuff.,apply,2024-01-17 23:39:02,2023-06-18 16:13:00
31733,material,Feel past lose bed trouble together consumer.,goal,2024-01-17 23:39:02,2005-05-25 14:05:04
85649,major,Increase down manager include model develop.,news,2024-01-17 23:39:02,2015-03-05 18:57:27
71068,human,Ground situation relate old news southern.,he,2024-01-17 23:39:02,2011-02-24 18:03:42
46470,least,Clearly accept information offer necessary yourself compare.,allow,2024-01-17 23:39:02,2001-11-28 03:14:52
89058,only,College peace reality region wide.,tend,2024-01-17 23:39:02,2020-01-31 11:42:21
25713,always,High moment well yourself important seek including.,choose,2024-01-17 23:39:02,2015-03-22 14:02:55
68518,race,Sign service bill remain one lay.,action,2024-01-17 23:39:02,2002-09-15 19:22:37
34485,argue,Myself address son church kind.,activity,2024-01-17 23:39:02,2013-03-19 02:04:22
80458,enjoy,Need summer large look public major.,our,2024-01-17 23:39:02,2019-01-28 21:11:25
30631,morning,Head base financial explain threat office.,first,2024-01-17 23:39:02,2008-06-16 06:22:20
63841,forward,Operation peace week draw policy within population.,nature,2024-01-17 23:39:02,2015-05-06 08:19:44
