nCriticityID,sName,sDescription,sValue,cantDiasResolucion,bStatus,dtDateCreated,dtDateModified
87525,shoulder,Old wait may arrive list.,but,2,False,2024-01-18 00:55:03,2008-02-26 20:50:00
92955,interest,Hope painting same south response family.,peace,24,False,2024-01-18 00:55:03,2002-04-14 20:30:35
98910,necessary,Space reduce yourself thus move outside whether.,necessary,29,True,2024-01-18 00:55:03,2011-01-19 02:08:52
39605,technology,Almost water pick father let relationship scene.,nearly,10,False,2024-01-18 00:55:03,2010-09-19 07:03:50
10019,player,Beat run south pay realize PM.,nature,14,True,2024-01-18 00:55:03,2010-07-22 16:16:12
53091,protect,Hospital good success large follow good.,focus,27,False,2024-01-18 00:55:03,2011-05-31 10:15:07
18597,law,Professor coach baby find.,think,28,True,2024-01-18 00:55:03,2021-06-18 15:40:03
11030,from,Level season issue simply nothing.,add,20,False,2024-01-18 00:55:03,2022-10-23 03:55:11
89477,meet,Gas indicate out little.,south,11,True,2024-01-18 00:55:03,2016-04-01 13:33:16
73437,direction,Decade reveal television alone item minute any.,apply,15,False,2024-01-18 00:55:03,2003-07-10 14:11:15
15721,although,Radio couple poor administration offer check go.,spend,6,False,2024-01-18 00:55:03,2013-06-04 20:06:31
58348,science,Or early need realize level nothing west get.,myself,8,False,2024-01-18 00:55:03,2019-12-01 07:08:47
87867,another,Character check different raise method.,north,11,False,2024-01-18 00:55:03,2002-06-19 09:51:13
60790,several,Democrat rest run eye recently affect bit shoulder.,rest,7,True,2024-01-18 00:55:03,2008-01-07 07:04:13
8365,pass,Name you officer environmental health service increase.,present,7,True,2024-01-18 00:55:03,2006-11-07 05:08:08
21994,in,Offer tough big receive.,prevent,27,False,2024-01-18 00:55:03,2004-12-13 04:13:05
67516,her,Build small production great center morning.,century,9,False,2024-01-18 00:55:03,2011-01-17 14:06:39
59453,agreement,Even majority study unit letter.,probably,19,True,2024-01-18 00:55:03,2011-12-07 18:17:56
50451,almost,Catch try condition television.,much,8,True,2024-01-18 00:55:03,2013-02-14 20:26:25
77309,child,Pm everything all.,side,26,True,2024-01-18 00:55:03,2012-01-17 08:32:59
37106,me,Admit research generation see.,choice,26,False,2024-01-18 00:55:03,2013-03-18 01:06:39
13176,would,Right piece administration bar.,pretty,11,False,2024-01-18 00:55:03,2013-12-27 04:55:36
94546,show,Student herself small remain dark.,series,3,True,2024-01-18 00:55:03,2014-02-11 10:25:36
44784,course,Rather party eye value member both.,draw,18,False,2024-01-18 00:55:03,2016-01-10 05:36:10
11861,result,Out car ahead great purpose best material.,spend,19,True,2024-01-18 00:55:03,2004-01-09 08:10:15
17515,off,Agree about threat during.,he,20,False,2024-01-18 00:55:03,2000-02-05 09:56:33
70941,line,Debate program way few create half fact.,new,28,True,2024-01-18 00:55:03,2007-12-18 14:25:02
19508,board,Agreement chance large past art draw rock.,media,5,True,2024-01-18 00:55:03,2009-04-13 00:35:56
81301,church,Television financial almost who whatever avoid.,run,4,False,2024-01-18 00:55:03,2018-09-29 02:53:31
47451,wall,Rise agreement nation whole executive wind.,professional,19,True,2024-01-18 00:55:03,2010-02-27 17:42:08
17771,mention,Example else simply question authority.,while,14,True,2024-01-18 00:55:03,2019-04-21 17:16:17
66894,population,Run daughter wife remember see total.,hope,23,False,2024-01-18 00:55:03,2016-06-09 00:25:49
61009,perhaps,Step Democrat lose line.,at,15,True,2024-01-18 00:55:03,2017-10-30 08:55:24
5747,sometimes,Course form effect nearly.,we,6,False,2024-01-18 00:55:03,2013-02-18 03:08:56
844,me,Fund fine for him.,house,3,True,2024-01-18 00:55:03,2008-01-12 23:03:50
95968,I,Social best write.,matter,23,True,2024-01-18 00:55:03,2012-03-15 20:53:10
31463,report,Factor rate past within pick.,number,6,True,2024-01-18 00:55:03,2001-07-07 09:38:22
37004,true,Policy although four among focus imagine.,whether,2,True,2024-01-18 00:55:03,2008-04-27 00:52:01
10995,imagine,Consumer name feeling black car.,power,16,True,2024-01-18 00:55:03,2023-10-10 11:34:04
53911,population,Road debate my stock.,about,30,False,2024-01-18 00:55:03,2002-04-02 02:59:57
24960,three,Do work must task may matter.,home,1,True,2024-01-18 00:55:03,2021-03-15 08:35:06
82039,it,Find speak act yard expect.,able,13,False,2024-01-18 00:55:03,2016-01-17 04:52:13
96715,present,Wall threat career outside group short material.,family,24,True,2024-01-18 00:55:03,2006-11-09 19:07:46
76318,himself,Firm particularly economic quite as.,fight,2,True,2024-01-18 00:55:03,2004-08-06 12:52:20
26882,say,Attorney ask address executive similar including letter.,economic,18,False,2024-01-18 00:55:03,2021-12-10 01:01:25
43311,buy,Size western particular break.,begin,23,False,2024-01-18 00:55:03,2018-08-28 12:58:03
11411,view,Security himself dinner realize apply daughter so.,letter,8,False,2024-01-18 00:55:03,2010-07-10 23:32:16
3637,throw,Front suffer campaign real future seem.,sport,27,False,2024-01-18 00:55:03,2009-09-19 19:09:46
56199,consider,Note already should fight forget.,start,26,False,2024-01-18 00:55:03,2019-03-28 20:40:58
63623,strong,Necessary direction knowledge writer.,few,6,True,2024-01-18 00:55:03,2008-12-03 23:35:57
